,aspects,frequency,emotions
1469,harmonica playing hero,1,Fear
1470,light hearted view,1,
1471,broad minded person,1,Surprise
1472,first thought wa,1,Surprise
1473,ridiculous looking monster,1,
1474,sentimental cloying elizabeth,1,Sad
1475,beloved talking screenwriter,1,
1476,great clunking script,1,Happy
1477,true depicted film,1,
1478,public intended argument,1,Fear
1479,human keep mutant,1,
1480,funny chattering grandpa,1,Surprise
1481,many obstacle money,1,
1482,current supplied suit,1,
1483,joint make work,1,Sad
1484,great acting sound,1,Happy
1485,odd flawed character,1,Fear
1486,high charming self,1,Fear
1487,madman watching treat,1,Surprise
1488,major reprised persona,1,
1489,enjoy wallowing scene,1,Happy
1490,bipolar disorder basis,1,Sad
1491,come thinking end,1,Surprise
1492,hard adjust note,1,Angry
1493,died defending country,1,Fear
1494,elephant say horse,1,Surprise
1495,good looking people,1,Happy
1496,place find way,1,Fear
1497,happy ending film,1,Happy
1498,creative writing student,1,
1499,thought provoking watch,1,Surprise
1500,short viewing fist,1,Angry
1501,great made someone,1,Happy
1502,bad making cause,1,Sad
1503,entire finished help,1,Surprise
1504,humorous see people,1,Happy
1505,artifice involving mantel,1,Fear
1506,terrible acting plot,1,Fear
1507,relentless pounding brutality,1,Angry
1508,suspense keep viewer,2,
1509,fugitive scouring water,1,Sad
1510,jerk want tick,1,
1511,new say publisher,1,Surprise
1512,tiny bathing suit,1,
1513,monk kneeling prayer,1,
1514,present walking hallway,1,
1515,enjoyable plowed asunder,1,Happy
1516,gum chewing friend,1,Happy
1517,uninterested working others,1,Sad
1518,grade played backyard,1,Fear
1519,happy ending conclusion,1,Happy
1520,japanese animated series,1,
1521,wealthy privileged family,1,Happy
1522,insane pitching sort,1,Surprise
1523,nice mentioned character,1,Happy
1524,new building look,1,Fear
1525,supernatural happening defense,1,Fear
1526,slow witted maintenance,1,
1527,wa holding half,1,
1528,low budgeted flick,1,Sad
1529,picnic hanging rock,1,
1530,black smirking tone,1,
1531,traditional auditioning route,1,
1532,likely looking bar,1,Fear
1533,cant think anything,1,Surprise
1534,prevent getting novice,1,
1535,villain took care,1,Surprise
1536,doe amazing dress,1,Surprise
1537,whole saying judge,1,Surprise
1538,ok enjoyed movie,1,Happy
1539,grow keeping mind,1,Surprise
1540,freaky looking folk,1,
1541,fellow loving peer,1,Happy
1542,u waiting apartment,1,Surprise
1543,lonesome leaving catch,1,Sad
1544,black running something,1,
1545,delicious serving pure,1,
1546,human using health,1,
1547,skillful editing audience,1,
1548,first outing tip,1,Angry
1549,type think nothing,1,Surprise
1550,beat say performance,1,Surprise
1551,possible arguing war,1,
1552,guess deserve something,1,Surprise
1553,happy ending way,1,Happy
1554,unique say fun,1,Happy
1555,overall acting wa,1,
1556,wish made standard,1,Sad
1557,simple allowing time,1,Fear
1558,big supposed foot,1,Fear
1559,stupid concerning size,1,Sad
1560,hard killing horror,1,Surprise
1561,ordinary coming age,1,Angry
1562,spanish born lawyer,1,Sad
1563,usual going daughter,1,Fear
1564,lovable touching bernie,1,Sad
1565,american watched movie,1,Surprise
1566,start calling girlfriend,1,
1567,intense oscillating experience,1,
1568,persona playing character,1,Fear
1569,excellent given robert,1,Happy
1570,boy understand value,1,
1571,end understanding plight,1,
1572,bad done intelligence,1,Sad
1573,girl believe fly,1,Surprise
1574,old locked cell,1,
1575,wished make g,1,Sad
1576,hear begging role,1,Sad
1577,u watching space,1,Surprise
1578,ok live texas,1,
1579,funny touching scene,1,Surprise
1580,wa watched circus,1,Surprise
1581,center withering growth,1,Surprise
1582,crucial turning point,1,Surprise
1583,happy give feel,1,Happy
1584,titan considered blasphemy,1,Sad
1585,caan genevieve bujold,1,
1586,funny looking suit,1,Surprise
1587,couple cheating race,1,Surprise
1588,sheen sounding dirt,1,
1589,keen racing people,1,Surprise
1590,able make screenplay,1,Sad
1591,usual suppressed aversion,1,
1592,vain struggling actress,1,
1593,hard working insurance,1,Fear
1594,unbearable overacting miscast,1,
1595,foreign sounding name,1,
1596,legal dancing bench,1,Fear
1597,historian studied charles,1,
1598,undistinguished irving pichel,1,
1599,willing take view,1,
1600,nipple shown camera,1,
1601,many begging mercy,1,Sad
1602,incredible editing song,1,Surprise
1603,foreign sounding wife,1,
1604,gourd trying act,1,
1605,free appearing tad,1,Happy
1606,lobotomy beginning people,1,
1607,general make kid,1,Happy
1608,rich privileged australia,1,Fear
1609,slow moving tyrannosaurus,1,
1610,likeable exciting see,1,Happy
1611,slow talking judy,1,
1612,real killing work,1,Surprise
1613,bad considering everything,1,Sad
1614,symbolic yielding limitation,1,
1615,aholic save money,1,
1616,poor directing sort,1,Fear
1617,humble growling engine,1,Angry
1618,bored flying jet,1,Sad
1619,true feeling passion,1,Angry
1620,side take deed,1,
1621,sadly counting number,1,Fear
1622,u make story,1,Sad
1623,tidal wave publicity,1,Fear
1624,furious pacing opposes,1,Angry
1625,chorus functioning turn,1,Surprise
1626,unfinished knitted sweater,1,
1627,eloquent demanding part,1,
1628,howl make statement,1,Sad
1629,british produced zombie,1,
1630,manny missing kill,1,Surprise
1631,decent wasted gain,1,Surprise
1632,difficult find movie,1,
1633,true wearing safety,1,Fear
1634,bad acting storyline,1,Sad
1635,able come order,1,
1636,short seeing hand,1,Angry
1637,much rented comment,1,
1638,outvoted made watch,1,Surprise
1639,hard say something,1,Angry
1640,ethic working wa,1,Fear
1641,handy dealing fine,1,Happy
1642,obsolete put role,1,Sad
1643,exist give gabrielle,1,Fear
1644,worth checking story,1,Fear
1645,great fueling idea,1,Happy
1646,driven romanticized account,1,Fear
1647,gorgeous moving scene,1,Happy
1648,hot tempered hockey,1,Angry
1649,disastrous wedding hotel,1,Sad
1650,library keep drawer,1,
1651,unbelievable acted david,1,
1652,shut got point,1,Angry
1653,stupid come whereas,1,
1654,huge racing estonia,1,Fear
1655,brilliant think everybody,1,Happy
1656,mean find work,1,Fear
1657,local becoming friend,1,Happy
1658,shallow thinking material,1,Surprise
1659,shorty say nothing,1,Surprise
1660,capable making thing,1,Surprise
1661,quiet take world,1,Sad
1662,torn killed night,1,Surprise
1663,usa bought copy,1,
1664,white seen caption,1,Fear
1665,mean spirited kid,1,Happy
1666,different come film,1,
1667,wrong felt exaggeration,1,Sad
1668,enjoy annoying conclusion,1,Happy
1669,ha redeeming feature,1,
1670,stop giving credence,1,Fear
1671,pre sold title,1,Fear
1672,unwatchable came part,1,Surprise
1673,worth visiting anyone,1,Fear
1674,austrian looking hercules,1,
1675,general make sense,1,Sad
1676,evident chased yemenians,1,
1677,classic progressesed sat,1,
1678,horrific featuring antramali,1,Surprise
1679,lead take role,1,
1680,viewable save money,1,
1681,good looking kid,1,Happy
1682,old worn jersey,1,
1683,sure begin production,1,Fear
1684,ustinov played quo,1,Fear
1685,bad edited mess,1,Angry
1686,heavy handed dialogue,1,Sad
1687,overall tried tie,1,
1688,bad make exception,1,Sad
1689,funny acting bland,1,Surprise
1690,new beginning jane,1,
1691,relative deceased truth,1,
1692,interference say ha,1,Surprise
1693,funny expecting lot,1,Happy
1694,entire based smilla,1,Sad
1695,unclear led girlfriend,1,Fear
1696,notice continue money,1,Fear
1697,afghanistan witnessing devastation,1,
1698,intent take money,1,Surprise
1699,ant come contact,1,Fear
1700,awful seen look,1,
1701,turned stealing product,1,Surprise
1702,solipsistic seen soderbergh,1,
1703,many detracting point,1,Surprise
1704,unguarded signed treaty,1,Fear
1705,funny gambling cigar,1,Surprise
1706,next huddled round,1,
1707,marvelous filming location,1,Surprise
1708,show supporting cast,1,
1709,tod borwning remake,1,
1710,odd talking head,1,Fear
1711,minute think hey,1,Surprise
1712,early paid money,1,
1713,bad seen le,1,Sad
1714,recommend think everybody,1,Surprise
1715,happy stomping ground,1,Happy
1716,entire surrounding population,1,Fear
1717,establishment leading road,1,
1718,whole exploded pre,1,Fear
1719,roshan dancing monkey,1,Fear
1720,interested viewing director,1,Happy
1721,couch laughing make,1,Sad
1722,tried killing people,1,Surprise
1723,many walking meat,1,
1724,fashioned meaning none,1,
1725,old contained technology,1,Angry
1726,read seen movie,1,
1727,opposed destroying drug,1,Fear
1728,preachy think lawrence,1,Surprise
1729,many left imagination,1,Fear
1730,dead liked lot,1,Sad
1731,sheen durning others,1,
1732,new told story,1,Sad
1733,ordinary sucked circumstance,1,Fear
1734,master set rope,1,Fear
1735,bad posting wa,1,Sad
1736,diverse believe idea,1,
1737,unintelligible helped fact,1,Surprise
1738,useful providing background,1,
1739,perceptive think director,1,Surprise
1740,simple shown length,1,Fear
1741,disgusted acting whiteboyz,1,Sad
1742,true geared towards,1,
1743,complete putting patchwork,1,Sad
1744,young go war,1,
1745,joke told sister,1,Happy
1746,american made cringe,1,Sad
1747,unusual look majority,1,
1748,ominous jolting ghost,1,Surprise
1749,shlocky convoluted premise,1,Fear
1750,similar used che,1,
1751,wide angled movement,1,
1752,noriega accused script,1,
1753,u see tv,1,
1754,many focus character,1,Fear
1755,wa ending everyone,1,Fear
1756,speilberg directing job,1,Fear
1757,bad surprised learn,1,Surprise
1758,rental seen movie,1,
1759,decent liking find,1,Surprise
1760,poignant moving moment,1,Fear
1761,bad give guy,1,Sad
1762,many watch reason,1,Surprise
1763,wonderful made tv,1,Surprise
1764,horrible acting performance,1,Fear
1765,screen told friend,1,Happy
1766,hot trying find,1,Sad
1767,next saving grace,1,Sad
1768,interested seeing religion,1,Happy
1769,dreary coming exercise,1,Sad
1770,infantile giggling sex,1,
1771,flat left story,1,Sad
1772,start love story,1,Happy
1773,latter acting waste,1,
1774,nash met president,1,
1775,tangible corresponding photography,1,
1776,awesome took part,1,Surprise
1777,busy rolling eye,1,Fear
1778,bad acting wit,1,Surprise
1779,worth telling mother,1,Sad
1780,fine doomed doc,1,Happy
1781,enjoyable opening restaurant,1,Happy
1782,second dragged audience,1,
1783,underrated think deserves,1,Surprise
1784,interested lost impact,1,Happy
1785,sexual exploring attitude,1,Fear
1786,decay lost dream,1,Sad
1787,joke loving community,1,Happy
1788,sympathy pointing finger,1,Surprise
1789,unfunny revolting piece,1,
1790,second fooling everyone,1,
1791,lieutenant answered phone,1,
1792,many wave emotion,1,Sad
1793,vulnerable wounded hero,1,Sad
1794,interested plugging bulky,1,Happy
1795,comfortable antiquated plot,1,Happy
1796,realistic take advice,1,
1797,give considering budget,1,Sad
1798,great made tv,1,Happy
1799,obvious based show,1,Sad
1800,good say movie,1,Happy
1801,unrealistic watching cartoon,1,Surprise
1802,undercurrent ticking bomb,1,
1803,religious find treatment,1,
1804,old fashioned whodunit,1,
1805,suspect cunning police,1,Fear
1806,hair trying performance,1,Surprise
1807,stagy feeling talk,1,
1808,first start plot,1,Surprise
1809,wow screwed man,1,Surprise
1810,clear beginning end,1,Sad
1811,good hearted misunderstood,1,Happy
1812,poor sitting fire,1,
1813,lucky beginning comment,1,Happy
1814,theatrical paid attention,1,
1815,good associated film,1,Happy
1816,schoolgirl leading schoolboy,1,
1817,furniture jumping scene,1,Surprise
1818,messed editing try,1,Angry
1819,sure get something,1,Fear
1820,wish wasted time,2,
1821,obvious watching virginity,1,Surprise
1822,many seen silver,1,
1823,natural telling story,1,Sad
1824,let start period,1,Sad
1825,jeep traveling destination,1,
1826,talented producing dub,1,
1827,funny looking guy,1,Surprise
1828,funny throwing bunch,1,Surprise
1829,worth seeing animation,1,Fear
1830,unfounded dated music,2,
1831,tedious take look,2,
1832,bad acting wa,1,Sad
1833,bad allowed place,1,Sad
1834,international peacemaking effort,1,
1835,give acting tour,1,Fear
1836,childhood remember friend,1,Happy
1837,strong minded woman,1,Happy
1838,know find number,1,Fear
1839,close yakking mark,1,Happy
1840,low priced hi,2,Sad
1841,good employing look,1,Happy
1842,white floating tree,1,Fear
1843,animal moving try,1,
1844,everyday put lot,1,Sad
1845,short whipped network,1,Angry
1846,real take place,1,Sad
1847,prevent becoming booty,1,
1848,earth assuming birth,1,Surprise
1849,appear referring partner,1,Sad
1850,desperate gambling debt,1,Fear
1851,funny considering wa,1,Surprise
1852,much calculated attempt,1,
1853,wide eyed view,1,
1854,imagine patting course,1,Surprise
1855,stern going obstacle,1,Fear
1856,new improved cgi,1,
1857,enemy finishing mission,1,
1858,smile say anything,1,Happy
1859,snappy writing series,1,
1860,hard boiled pi,1,Angry
1861,several stunning shot,1,Surprise
1862,terrible engaging camera,1,Fear
1863,american armed force,1,Sad
1864,theme thrown family,1,Surprise
1865,long played see,1,Fear
1866,tighter editing film,1,
1867,particular annoyed cancer,1,Sad
1868,awful acting wa,1,
1869,wa sent home,1,Sad
1870,upset seen return,1,Fear
1871,hear repeated line,1,Fear
1872,serious acting applies,1,
1873,good following let,1,Happy
1874,crappy acting cheesy,1,Sad
1875,good told movie,1,Happy
1876,heavy written tone,1,Sad
1877,interested catching attention,1,Happy
1878,funny touching scenery,1,Surprise
1879,norwegian founded state,1,Sad
1880,minute turning point,1,Surprise
1881,new introduced use,1,
1882,specific think season,1,Surprise
1883,human take shot,1,
1884,horrible think anyone,1,Surprise
1885,likely go history,1,Fear
1886,pretentious boring thing,1,Surprise
1887,cheerful expecting find,1,Happy
1888,pathetic including josh,1,Sad
1889,irrelevant compared radius,1,
1890,many seen day,1,Happy
1891,close looking mirror,1,Happy
1892,faithful loving men,1,Happy
1893,hard believe latino,1,Angry
1894,want say mlk,1,Surprise
1895,black watching june,1,Surprise
1896,write accompanied mission,1,
1897,dear give damn,1,Surprise
1898,attempt delve relationship,1,
1899,medic played kenneth,1,Fear
1900,upbeat hit jack,1,Happy
1901,low seeing hesitant,1,Sad
1902,optimum releasing transfer,1,
1903,cheap looking scene,1,
1904,terrible wasted space,1,Fear
1905,worth look interest,1,Happy
1906,noteworthy considering source,1,Sad
1907,glad stayed watch,1,Happy
1908,demon burning woman,1,Sad
1909,next returning bishop,1,
1910,ha gone gain,1,Fear
1911,short made damn,1,Angry
1912,mad tainted everything,1,Angry
1913,marvelous singing trio,1,Surprise
1914,warm left question,1,Fear
1915,documentary following route,1,
1916,slow settle pace,1,Surprise
1917,u recommend anyone,1,
1918,able survive midnight,1,Surprise
1919,young inheriting everything,1,Sad
1920,wish came visuals,1,Surprise
1921,english speaking country,1,Fear
1922,french coined term,1,
1923,early outing fan,1,Angry
1924,believe acting master,1,
1925,forehead going duh,1,Fear
1926,grand unveiling villain,1,Surprise
1927,skill acting thing,1,Surprise
1928,interesting seeing interaction,1,Happy
1929,sexy loved bird,1,Happy
1930,continually watching saw,1,Surprise
1931,afraid paid money,1,Fear
1932,farris wrote version,1,
1933,william devastating baroque,1,Fear
1934,funny come hell,1,Surprise
1935,sure trying question,1,Fear
1936,big bronzed steve,1,
1937,nitrous supposed story,1,Fear
1938,le annoying mile,1,Sad
1939,special supporting cast,1,Surprise
1940,fine sitting spettri,1,Happy
1941,peanut snorting karate,1,
1942,calculated geared crowd,1,
1943,surprising ending bit,1,Surprise
1944,afraid believe annihilate,1,Fear
1945,open took place,1,Fear
1946,guess see surprise,1,Surprise
1947,russian checked movie,1,
1948,much according mainstream,1,
1949,various depicted scofield,1,
1950,hard believe auteur,1,Angry
1951,involved making fact,1,Sad
1952,good acting script,1,Happy
1953,dramatic moving plot,1,
1954,guard seizing victory,1,Surprise
1955,table complaining husband,1,Sad
1956,miserable whining pig,1,
1957,lion king disney,1,
1958,intent collecting cash,1,Surprise
1959,occasional severed head,1,Fear
1960,doe keep edge,1,Sad
1961,follow satisfying experience,1,
1962,explicit aforementioned tryst,1,Fear
1963,dilapidated swimming pool,1,Fear
1964,unlikeable said actor,1,Surprise
1965,erratic including couple,1,
1966,stupid turning brainless,1,Surprise
1967,terrible beginning end,1,Fear
1968,painful viewing experience,2,Sad
1969,high pitched feminine,1,Sad
1970,great acting carry,1,Happy
1971,horrendous challenging condition,1,Fear
1972,lunatic awaiting imagine,1,Surprise
1973,next healed wound,1,
1974,eccentric dying scientist,1,Fear
1975,worth watching crack,1,Surprise
1976,boring recycled gag,1,Sad
1977,nell steve burrow,1,
1978,head solve mystery,1,Fear
1979,human told blockbuster,1,Sad
1980,sleek stalked woman,1,
1981,unwilling give jack,1,Sad
1982,wish played lead,1,Fear
1983,foreign think brazil,1,Surprise
1984,horrible according review,1,Fear
1985,fat turning friend,1,Happy
1986,strong willed experience,1,Happy
1987,old fashioned type,1,Fear
1988,excellent relaxing view,1,Happy
1989,save shining half,1,
1990,poor deluded girl,1,Surprise
1991,stale deadpanning feel,1,
1992,short creating tension,1,Angry
1993,guy researching death,1,Fear
1994,real come love,1,Happy
1995,quote regarding road,1,Happy
1996,second ending fine,1,Happy
1997,understand got people,1,
1998,gonrdy directing style,1,Fear
1999,sure reading death,1,Fear
2000,burial looking water,1,Sad
2001,instrument dancing way,1,Fear
2002,weird wailing heard,1,Sad
2003,diet consisted meat,1,
2004,miss come joke,1,Happy
2005,excellent acting story,1,Happy
2006,fireman want dig,1,
2007,palpable reading lesson,1,Angry
2008,true watching feel,1,Surprise
2009,average looking film,1,Fear
2010,unimaginative acting suck,1,
2011,creditable starring debut,1,
2012,hard believe director,2,Angry
2013,surprising coming country,1,Surprise
2014,pretentious took care,1,Surprise
2015,similar supporting introduction,1,
2016,numerous forced couple,1,Surprise
2017,oft repeated note,1,
2018,nom went actor,1,Fear
2019,ultra alternated joke,1,Happy
2020,wa annoying self,1,Sad
2021,sure going watch,1,Fear
2022,open staring drunk,1,Fear
2023,dark using camera,1,Sad
2024,disappointing love scene,1,Happy
2025,effective introducing story,1,
2026,first saw movie,4,Surprise
2027,reopen find trouble,1,Sad
2028,red painted cinder,1,Angry
2029,light switch yard,1,
2030,horrendous synchronizing actor,1,
2031,interested happening amount,1,Happy
2032,apparent acting class,1,Surprise
2033,surprising shocking suffers,1,Surprise
2034,fanatic loved match,1,Happy
2035,worth watching hope,1,Fear
2036,first reading book,1,Surprise
2037,cafe checking bubo,1,
2038,grand giggling novelty,1,Surprise
2039,bad made spade,1,Sad
2040,dumb slave girl,1,Surprise
2041,girl confusing story,1,Surprise
2042,hard believe thirty,1,Angry
2043,great entertaining show,1,Happy
2044,super recovered police,1,Surprise
2045,subtle heartbreaking portrait,1,Fear
2046,great set design,2,Happy
2047,green playing youngster,1,Fear
2048,wish done genre,1,
2049,fine supporting cast,2,Happy
2050,bad considering ha,2,Sad
2051,celebre dueling medico,1,
2052,gibberish taking skinnydips,1,Surprise
2053,willing killing wife,1,Surprise
2054,good acting role,1,Happy
2055,alive asking producer,1,Fear
2056,horrible acting piper,1,Fear
2057,bad acting nothing,2,Sad
2058,real trying watch,1,Surprise
2059,hilarious entertaining grade,1,Happy
2060,australian including geoffrey,1,
2061,weak acting performance,1,Sad
2062,dummy hired animation,1,
2063,spampinato steve jordon,1,
2064,white starring basil,1,Fear
2065,concious dealing book,1,
2066,fake put trigger,1,Sad
2067,dead going find,1,Fear
2068,chick die none,1,
2069,easy see someone,1,
2070,francisco sighting evoke,1,
2071,spectacular felt filmmaker,1,Sad
2072,glorious interspersed today,1,
2073,interested seeing movie,1,Happy
2074,sam disgusting cousin,1,Sad
2075,le disturbing james,1,
2076,good made production,1,Happy
2077,dreadful cave dweller,1,Sad
2078,doe add anything,1,Sad
2079,anarchist find movie,1,
2080,susman went way,1,Fear
2081,villianous recruiting bunch,1,
2082,happy ending puck,1,Happy
2083,original take man,1,
2084,full turning worldwide,1,Surprise
2085,minute destroying everything,1,Sad
2086,star done bit,1,
2087,natural winning smile,1,Happy
2088,likely see man,1,Fear
2089,exploit grieving family,1,Surprise
2090,hear bought book,1,
2091,confused stuttering comedy,1,Fear
2092,know start movie,1,
2093,ridiculous acting make,1,Sad
2094,shot watched adult,1,Surprise
2095,buck challenging thumper,1,Fear
2096,comfortable serenading heroine,1,Happy
2097,ready milked sentimentality,1,Happy
2098,doe say pursuit,1,Surprise
2099,heavy handed dogma,1,Sad
2100,denouement intriguing involves,1,Fear
2101,islamic believe china,1,
2102,worth spending money,1,Fear
2103,suicide boyfriend art,1,
2104,forgotten end moment,1,Angry
2105,aware making challenge,1,Sad
2106,jewish take heart,1,Sad
2107,ha come show,1,
2108,full sized man,1,
2109,entire supposed told,1,Fear
2110,glad stayed buddy,1,Happy
2111,build civilising effect,1,Surprise
2112,second guessing script,1,Surprise
2113,fan howling series,1,
2114,serious warped comedy,1,
2115,back believe woman,1,
2116,horrible putting toddler,1,Sad
2117,leigh acting superb,1,Happy
2118,crazy hope writer,1,Fear
2119,old left fight,1,Sad
2120,wyman girlfriend stepdaughter,1,
2121,preferable took cake,1,Surprise
2122,major took street,1,Surprise
2123,true told doctor,1,Sad
2124,lousy ending rating,1,Angry
2125,bad headed gerald,1,Sad
2126,hard working prospector,1,Angry
2127,butchered editing fact,1,
2128,soporific taken put,1,Surprise
2129,afraid shedding image,1,Fear
2130,hilarious flustered judge,1,Happy
2131,shear pulsating blaxploitation,1,
2132,white knuckled actioneer,1,Fear
2133,old checkered cab,1,
2134,tenement run truck,1,
2135,guess cutting class,1,Surprise
2136,sure see value,1,Fear
2137,teen go fact,1,Angry
2138,graphic acting script,1,
2139,christian give credit,1,Fear
2140,actress playing pleasure,1,Happy
2141,painful watching mob,1,Angry
2142,usual left doubt,1,Fear
2143,human feeling obsession,1,
2144,hard find day,1,Happy
2145,underaged followed cult,1,
2146,bad writing coincidence,1,Sad
2147,spanish go way,1,
2148,innovative touching plot,1,Sad
2149,girl walking street,1,Surprise
2150,abused left fend,1,
2151,unaware missing begin,1,Sad
2152,fugitive finding way,1,
2153,funny fave character,1,Surprise
2154,bernard met penny,1,
2155,small cut eye,1,
2156,happy rushed wresltemainia,1,Happy
2157,guess damning faint,1,Surprise
2158,mob run drug,1,Angry
2159,good covering lot,1,Happy
2160,final involved surgeon,1,Fear
2161,extra keep em,1,
2162,high remained country,1,Fear
2163,lady endearing quality,1,Happy
2164,happy ending disney,1,Happy
2165,bad acting maudlin,1,Sad
2166,name think make,1,Surprise
2167,overall prefer heart,1,Happy
2168,awesome watching mom,1,Surprise
2169,old suited lord,1,
2170,fix glaring error,1,Sad
2171,future handing award,1,
2172,happy ending boot,1,Happy
2173,le shocking similarity,1,Surprise
2174,single required see,1,
2175,insightful figured twist,1,
2176,bad spoiled kid,1,Happy
2177,willing spend ton,1,
2178,snazzy b berserker,1,
2179,erotic lovemaking scene,1,
2180,human rickshaw person,1,
2181,whole acting photography,1,Fear
2182,chaotic disturbing sex,1,
2183,korean bended genre,1,Angry
2184,geek overcoming odds,1,Sad
2185,curious played rick,1,Surprise
2186,brilliant beginning end,1,Happy
2187,pretentious lacking believability,1,
2188,single set file,1,Fear
2189,old wrote hurry,1,
2190,wong shown training,1,
2191,busy wallowing nostalgia,1,Fear
2192,good watching comment,1,Happy
2193,key maintaining subtlety,1,Sad
2194,cackle played ace,1,Fear
2195,several take watch,1,Surprise
2196,salacious alfred e,1,
2197,green make jolson,1,Sad
2198,half running consists,1,
2199,plot take place,1,Fear
2200,important supposed moment,1,Fear
2201,slide cut kid,1,Happy
2202,bottle making blood,1,Sad
2203,wealthy loving uncle,1,Happy
2204,weak minded fool,1,Surprise
2205,u sympathize fixation,1,Sad
2206,second rubbing goat,1,Angry
2207,foul mouthed killer,1,Sad
2208,mom trying thing,1,Surprise
2209,friday investigating murder,1,Fear
2210,important come construction,1,Happy
2211,terrible acting nothing,1,Fear
2212,tense feeling thing,1,Surprise
2213,bad reminded terminator,1,Sad
2214,glorified made light,1,Sad
2215,ustinov take role,1,
2216,bored watching box,1,Surprise
2217,black gloved killer,3,
2218,awful supposed chance,1,Fear
2219,original based symbolism,1,Sad
2220,freshy adding picturisation,1,Sad
2221,good supporting cast,2,Happy
2222,evil calling ivan,1,
2223,successful fighting front,1,Sad
2224,essential got way,1,
2225,portuguese relocated brazil,1,
2226,hard believe herschell,1,Angry
2227,lite twentysomething version,1,
2228,gellar playing rif,1,Fear
2229,nervous happening stuff,1,Angry
2230,harry enfield ala,1,Fear
2231,usual thought time,1,Surprise
2232,single remaining plant,1,
2233,okay let face,1,Sad
2234,fair say improvement,1,Surprise
2235,cong portrayed misunderstood,1,
2236,graphic want watch,1,Surprise
2237,live referring course,1,
2238,serious king denmark,1,
2239,royal wedding look,1,
2240,predictable stretched mean,1,
2241,visible training suspender,1,
2242,modern shifting fact,1,
2243,little flying robot,1,Fear
2244,yeah forget jacking,1,Angry
2245,great approaching sunset,1,Happy
2246,black humored critique,1,Surprise
2247,follow want take,1,
2248,bad remember location,1,Sad
2249,direct leaving dialogue,1,Fear
2250,many come everything,1,Sad
2251,cheap take world,1,
2252,german occupied france,1,Happy
2253,american dropped plethora,1,
2254,jason take form,1,
2255,comic gifted actor,1,
2256,consistent lurching hallmark,1,Sad
2257,extra set piece,1,Fear
2258,embarrassment enjoyed wa,1,Happy
2259,awful make sense,1,Sad
2260,humdrum established survival,1,Fear
2261,future raheem steel,1,
2262,sidekick played france,1,Fear
2263,guilty oversimplifying displacement,1,Happy
2264,first viewing wa,1,Surprise
2265,akin beginning idea,1,
2266,rental missing anything,1,Sad
2267,hippy looking direction,1,
2268,amiss witnessed coffin,1,
2269,u viewing learn,1,
2270,basic underlying plot,1,
2271,usual expected story,1,Happy
2272,insipid hit men,1,Angry
2273,critic lying classify,1,
2274,sexual added homo,1,Sad
2275,funny charming piece,1,Happy
2276,confident go thing,1,Surprise
2277,enjoy spoofing james,1,Happy
2278,modern making technique,1,Sad
2279,see take word,1,Angry
2280,odd beginning relationship,1,
2281,slyly toying audience,1,
2282,impressed make day,1,Happy
2283,info thinking yeaahhh,1,Surprise
2284,good acting plot,1,Happy
2285,rich satisfying anyone,1,Fear
2286,several going action,1,Fear
2287,odd entertaining tribe,1,
2288,original know detail,1,
2289,couch watching crap,1,Surprise
2290,creative touching mile,1,Sad
2291,short based upon,1,Angry
2292,clear making statement,1,Sad
2293,first ring movie,1,Surprise
2294,open mouthed head,1,Fear
2295,fresh say reader,1,Surprise
2296,linda splicing scene,1,
2297,perfect dubbed broadcast,1,Sad
2298,sensitive telling event,1,Sad
2299,fair put staff,1,Sad
2300,double achieved nothing,1,
2301,unfold supporting cast,1,
2302,old revised version,1,
2303,future cut scene,1,
2304,shot remake line,1,Fear
2305,chinese king presley,1,
2306,unfulfilled save money,1,Sad
2307,oblivious amusing simplicity,1,Fear
2308,original viewed theatre,1,
2309,huge talking rat,1,
2310,difficult find person,1,
2311,similarity end ha,1,
2312,end seeing mst,1,
2313,live hear anyone,1,
2314,original calling wife,1,
2315,witness claiming shot,1,Surprise
2316,strange happening writer,1,
2317,likely got day,1,Happy
2318,requisite expect villain,1,Happy
2319,fortune gambling debt,1,Happy
2320,sure missed something,1,Sad
2321,lead boring cipher,1,Sad
2322,safe took risk,1,Surprise
2323,fun continue story,1,Happy
2324,suggestible changing opinion,1,
2325,mgm viewed studio,1,
2326,perpetual allowing flack,1,
2327,survive escaping ship,1,Fear
2328,un annoying child,1,Sad
2329,flat acting blaxploitation,1,Sad
2330,flat keep mind,1,Surprise
2331,ludicrous supporting cast,1,
2332,sloppy writing character,1,Fear
2333,odd amusing reference,1,Fear
2334,new shocking save,1,Surprise
2335,comfortable playing surfer,1,Happy
2336,talented eating love,1,Happy
2337,strong hatred guy,1,Happy
2338,trick taking fall,1,Surprise
2339,rival acting vin,1,
2340,weird creep call,1,
2341,flees wind house,1,Fear
2342,comb saw day,1,Happy
2343,slight feeling discomfort,1,Angry
2344,incapable picking role,1,
2345,lionsgate dumping horde,1,
2346,different linked word,1,Angry
2347,wall surrounding body,1,Angry
2348,fair warning martin,1,Fear
2349,special screening let,1,Surprise
2350,grade telling teacher,1,Sad
2351,awful given year,1,Fear
2352,iranian screened simplicity,1,Fear
2353,repetitive boring doubt,1,Sad
2354,aware fractured nature,1,Sad
2355,tagline say revenge,1,Surprise
2356,alan clarke star,1,
2357,solid supporting cast,1,
2358,leave kleenex shelf,1,
2359,young hired movie,1,
