,aspects_AVN,emotions
2413,villain took care,Surprise
2414,,
2415,,
2416,,
2417,,
2418,doe amazing dress,Surprise
2419,whole saying judge,Surprise
2420,,
2421,,
2422,ok enjoyed movie,Happy
2423,,
2424,"grow keeping mind, freaky looking folk, fellow loving peer, u waiting apartment, lonesome leaving catch",Surprise
2425,,
2426,black running something,
2427,delicious serving pure,
2428,human using health,
2429,skillful editing audience,
2430,,
2431,first outing tip,Angry
2432,"type think nothing, beat say performance, possible arguing war",Surprise
2433,guess deserve something,
2434,happy ending way,Fear
2435,unique say fun,Happy
2436,,
2437,overall acting wa,
2438,,
2439,,
2440,,
2441,wish made standard,Sad
2442,,
2443,simple allowing time,
2444,"big supposed foot, stupid concerning size",Sad
2445,,
2446,,
2447,hard killing horror,Surprise
2448,"ordinary coming age, spanish born lawyer, usual going daughter",Angry
2449,,
2450,,
2451,,
2452,,
2453,,
2454,,
2455,,
2456,,
2457,lovable touching bernie,Sad
2458,american watched movie,Surprise
2459,,
2460,,
2461,,
2462,,
2463,,
2464,,
2465,start calling girlfriend,
2466,intense oscillating experience,
2467,,
2468,,
2469,persona playing character,Fear
2470,,
2471,excellent given robert,Fear
2472,,
2473,,
2474,,
2475,,
2476,,
2477,,
2478,,
2479,,
2480,,
2481,,
2482,boy understand value,
2483,end understanding plight,
2484,,
2485,,
2486,bad done intelligence,
2487,"girl believe fly, old locked cell",
2488,,
2489,wished make g,Sad
2490,hear begging role,Sad
2491,,
2492,,
2493,,
2494,u watching space,Surprise
2495,,
2496,,
2497,ok live texas,
2498,,
2499,,
2500,,
2501,,
2502,funny touching scene,Sad
2503,wa watched circus,Surprise
2504,"center withering growth, crucial turning point",Surprise
2505,"happy give feel, titan considered blasphemy",Sad
2506,,
2507,,
2508,,
2509,,
2510,,
2511,,
2512,,
2513,,
2514,caan genevieve bujold,
2515,"funny looking suit, couple cheating race, sheen sounding dirt, keen racing people",Fear
2516,,
2517,,
2518,able make screenplay,Sad
2519,usual suppressed aversion,
2520,"vain struggling actress, hard working insurance",Fear
2521,unbearable overacting miscast,
2522,,
2523,,
2524,,
2525,,
2526,foreign sounding name,
2527,legal dancing bench,Fear
2528,historian studied charles,
2529,,
2530,,
2531,undistinguished irving pichel,
2532,willing take view,
2533,nipple shown camera,
2534,,
2535,,
2536,,
2537,"many begging mercy, incredible editing song",Sad
2538,,
2539,foreign sounding wife,
2540,"gourd trying act, free appearing tad",Sad
2541,,
2542,lobotomy beginning people,
2543,,
2544,general make kid,Happy
2545,,
2546,rich privileged australia,
2547,"slow moving tyrannosaurus, likeable exciting see",Sad
2548,"slow talking judy, real killing work, bad considering everything",Sad
2549,,
2550,symbolic yielding limitation,
2551,,
2552,,
2553,,
2554,,
2555,,
2556,aholic save money,
2557,poor directing sort,Fear
2558,"humble growling engine, bored flying jet, true feeling passion",Angry
2559,"side take deed, sadly counting number",Fear
2560,,
2561,u make story,Sad
2562,tidal wave publicity,Fear
2563,,
2564,,
2565,"furious pacing opposes, chorus functioning turn, unfinished knitted sweater, eloquent demanding part",Surprise
2566,howl make statement,Sad
2567,,
2568,,
2569,,
2570,,
2571,"british produced zombie, manny missing kill, decent wasted gain",Surprise
2572,,
2573,difficult find movie,
2574,true wearing safety,Fear
2575,,
2576,,
2577,bad acting storyline,
2578,,
2579,,
2580,,
2581,,
2582,"able come order, short seeing hand",
2583,,
2584,much rented comment,
2585,,
2586,,
2587,"outvoted made watch, hard say something",Surprise
2588,,
2589,"ethic working wa, handy dealing fine",Happy
2590,"obsolete put role, exist give gabrielle",Sad
2591,,
2592,worth checking story,
2593,"great fueling idea, driven romanticized account, gorgeous moving scene",Fear
2594,,
2595,,
2596,,
2597,,
2598,,
2599,hot tempered hockey,Angry
2600,disastrous wedding hotel,
2601,"library keep drawer, unbelievable acted david",
2602,shut got point,Surprise
2603,,
2604,stupid come whereas,
2605,,
2606,,
2607,,
2608,"huge racing estonia, brilliant think everybody",Surprise
2609,"mean find work, local becoming friend, shallow thinking material, shorty say nothing, capable making thing",Surprise
2610,quiet take world,
2611,"torn killed night, usa bought copy",Surprise
2612,white seen caption,
2613,mean spirited kid,Happy
2614,,
2615,different come film,
2616,wrong felt exaggeration,Sad
2617,,
2618,enjoy annoying conclusion,Sad
2619,,
2620,ha redeeming feature,
2621,stop giving credence,Fear
2622,pre sold title,Fear
2623,,
2624,,
2625,,
2626,,
2627,unwatchable came part,Surprise
2628,,
2629,,
2630,"worth visiting anyone, austrian looking hercules",
2631,,
2632,"general make sense, evident chased yemenians, classic progressesed sat",Sad
2633,,
2634,horrific featuring antramali,
2635,,
2636,lead take role,
2637,,
2638,viewable save money,
2639,,
2640,,
2641,good looking kid,Happy
2642,,
2643,,
2644,old worn jersey,
2645,,
2646,,
2647,,
2648,,
2649,,
2650,,
2651,sure begin production,
2652,"ustinov played quo, bad edited mess",Angry
2653,,
2654,,
2655,,
2656,,
2657,"heavy handed dialogue, overall tried tie",
2658,,
2659,bad make exception,Sad
2660,,
2661,funny acting bland,Sad
2662,,
2663,,
2664,,
2665,"new beginning jane, relative deceased truth",
2666,interference say ha,Surprise
2667,,
2668,,
2669,funny expecting lot,Happy
2670,entire based smilla,Sad
2671,,
2672,,
2673,,
2674,,
2675,"unclear led girlfriend, notice continue money",
2676,afghanistan witnessing devastation,
2677,,
2678,,
2679,,
2680,,
2681,"intent take money, ant come contact, awful seen look",
2682,turned stealing product,Surprise
2683,"solipsistic seen soderbergh, many detracting point",Surprise
2684,,
2685,,
2686,"unguarded signed treaty, funny gambling cigar",Fear
2687,,
2688,,
2689,,
2690,next huddled round,
2691,marvelous filming location,
2692,,
2693,good acting story,
2694,,
2695,,
2696,"show supporting cast, tod borwning remake",
2697,odd talking head,Fear
2698,,
2699,,
2700,,
2701,,
2702,,
2703,,
2704,"minute think hey, early paid money",Surprise
2705,,
2706,,
2707,,
2708,bad seen le,
2709,,
2710,recommend think everybody,Surprise
2711,,
2712,,
2713,,
2714,,
2715,,
2716,,
2717,"happy stomping ground, entire surrounding population, establishment leading road, whole exploded pre",Angry
2718,,
2719,roshan dancing monkey,Fear
2720,,
2721,,
2722,,
2723,,
2724,interested viewing director,Surprise
2725,couch laughing make,Sad
2726,,
2727,,
2728,,
2729,tried killing people,Surprise
2730,"many walking meat, fashioned meaning none",
2731,,
2732,,
2733,,
2734,,
2735,old contained technology,Angry
2736,read seen movie,
2737,,
2738,,
2739,,
2740,"opposed destroying drug, preachy think lawrence",Surprise
2741,,
2742,,
2743,"many left imagination, dead liked lot",Sad
2744,sheen durning others,
2745,much say film,Surprise
2746,,
2747,new told story,Sad
2748,,
2749,high paying job,Fear
2750,,
2751,,
2752,,
2753,,
2754,,
2755,,
2756,,
2757,,
2758,ordinary sucked circumstance,
2759,,
2760,master set rope,Fear
2761,"bad posting wa, diverse believe idea",
2762,,
2763,,
2764,unintelligible helped fact,Surprise
2765,useful providing background,
2766,"perceptive think director, simple shown length",Surprise
2767,,
2768,"disgusted acting whiteboyz, true geared towards",
2769,"complete putting patchwork, young go war",Sad
2770,joke told sister,Sad
2771,,
2772,american made cringe,Sad
2773,"unusual look majority, ominous jolting ghost, shlocky convoluted premise",Surprise
2774,"similar used che, wide angled movement",
2775,noriega accused script,
2776,,
2777,,
2778,,
2779,,
2780,,
2781,,
2782,u see tv,
2783,"many focus character, wa ending everyone",Fear
2784,,
2785,speilberg directing job,Fear
2786,bad surprised learn,Surprise
2787,"rental seen movie, decent liking find",
2788,,
2789,,
2790,,
2791,,
2792,poignant moving moment,Fear
2793,bad give guy,Fear
2794,,
2795,many watch reason,Surprise
2796,,
2797,wonderful made tv,Sad
2798,horrible acting performance,
2799,,
2800,,
2801,,
2802,"screen told friend, hot trying find",Happy
2803,next saving grace,Sad
2804,interested seeing religion,
2805,,
2806,"dreary coming exercise, infantile giggling sex, flat left story",Surprise
2807,"start love story, latter acting waste",Happy
2808,nash met president,
2809,tangible corresponding photography,
2810,awesome took part,Surprise
2811,busy rolling eye,
2812,bad acting wit,Surprise
2813,,
2814,worth telling mother,Sad
2815,,
2816,,
2817,,
2818,fine doomed doc,Sad
2819,,
2820,,
2821,,
2822,,
2823,enjoyable opening restaurant,Fear
2824,second dragged audience,
2825,underrated think deserves,Surprise
2826,great supporting role,
2827,,
2828,"interested lost impact, sexual exploring attitude",Angry
2829,,
2830,,
2831,decay lost dream,Sad
2832,joke loving community,Happy
2833,,
2834,,
2835,sympathy pointing finger,Surprise
2836,,
2837,,
2838,unfunny revolting piece,
2839,second fooling everyone,
2840,lieutenant answered phone,
2841,,
2842,,
2843,"many wave emotion, vulnerable wounded hero",Sad
2844,"interested plugging bulky, comfortable antiquated plot",
2845,realistic take advice,
2846,,
2847,,
2848,,
2849,,
2850,give considering budget,Sad
2851,"great made tv, obvious based show",Sad
2852,"good say movie, unrealistic watching cartoon",Surprise
2853,,
2854,"undercurrent ticking bomb, religious find treatment",
2855,,
2856,,
2857,,
2858,,
2859,,
2860,,
2861,"old fashioned whodunit, suspect cunning police",
2862,,
2863,hair trying performance,
2864,stagy feeling talk,
2865,,
2866,"first start plot, wow screwed man",
2867,,
2868,,
2869,,
2870,clear beginning end,
2871,,
2872,good hearted misunderstood,
2873,,
2874,"poor sitting fire, lucky beginning comment",
2875,theatrical paid attention,
2876,good associated film,
2877,,
2878,"schoolgirl leading schoolboy, furniture jumping scene",Surprise
2879,,
2880,,
2881,,
2882,,
2883,messed editing try,
2884,"sure get something, wish wasted time",
2885,,
2886,,
2887,,
2888,obvious watching virginity,Surprise
2889,,
2890,,
2891,,
2892,"many seen silver, natural telling story",Sad
2893,,
2894,,
2895,,
2896,,
2897,,
2898,,
2899,"let start period, jeep traveling destination, talented producing dub",
2900,,
2901,,
2902,,
2903,,
2904,,
2905,,
2906,funny looking guy,
2907,,
2908,,
2909,,
2910,funny throwing bunch,
2911,worth seeing animation,
2912,,
2913,"many glowing review, unfounded dated music, tedious take look",Angry
2914,,
2915,bad acting wa,
2916,bad allowed place,Fear
2917,international peacemaking effort,
2918,give acting tour,
2919,,
2920,childhood remember friend,Happy
2921,strong minded woman,Surprise
2922,know find number,Fear
2923,,
2924,,
2925,close yakking mark,
2926,low priced hi,
2927,"good employing look, white floating tree",
2928,,
2929,animal moving try,
2930,,
2931,,
2932,,
2933,,
2934,,
2935,everyday put lot,Sad
2936,,
2937,low priced hi,
2938,,
2939,,
2940,"short whipped network, real take place",Fear
2941,prevent becoming booty,
2942,,
2943,,
2944,"earth assuming birth, appear referring partner",Fear
2945,,
2946,desperate gambling debt,Fear
2947,,
2948,,
2949,,
2950,funny considering wa,Sad
2951,,
2952,"much calculated attempt, wide eyed view, imagine patting course, stern going obstacle",Fear
2953,,
2954,new improved cgi,
2955,"enemy finishing mission, smile say anything",Surprise
2956,snappy writing series,
2957,,
2958,,
2959,"hard boiled pi, several stunning shot",Surprise
2960,,
2961,terrible engaging camera,Fear
2962,,
2963,,
2964,american armed force,Sad
2965,,
2966,theme thrown family,Surprise
2967,,
2968,"long played see, tighter editing film",Fear
2969,particular annoyed cancer,Sad
2970,awful acting wa,
2971,,
2972,,
2973,wa sent home,Sad
2974,"upset seen return, hear repeated line",Fear
2975,"serious acting applies, good following let",Sad
2976,crappy acting cheesy,
2977,,
2978,"good told movie, heavy written tone",Sad
2979,interested catching attention,
2980,,
2981,funny touching scenery,Sad
2982,,
2983,,
2984,,
2985,"norwegian founded state, minute turning point, new introduced use",Surprise
2986,"specific think season, human take shot",Surprise
2987,"horrible think anyone, likely go history",Surprise
2988,pretentious boring thing,Surprise
2989,"cheerful expecting find, pathetic including josh",Happy
2990,,
2991,,
2992,"irrelevant compared radius, many seen day",Happy
2993,close looking mirror,
2994,faithful loving men,Happy
2995,"hard believe latino, want say mlk",Surprise
2996,black watching june,Surprise
2997,"write accompanied mission, dear give damn",Fear
2998,,
2999,attempt delve relationship,
3000,,
3001,medic played kenneth,Fear
3002,"upbeat hit jack, low seeing hesitant, optimum releasing transfer",Angry
3003,"cheap looking scene, terrible wasted space",
3004,worth look interest,Happy
3005,noteworthy considering source,Sad
3006,glad stayed watch,Angry
3007,,
3008,,
3009,,
3010,demon burning woman,Sad
3011,next returning bishop,
3012,,
3013,,
3014,ha gone gain,Fear
3015,,
3016,"short made damn, mad tainted everything",Sad
3017,,
3018,,
3019,marvelous singing trio,
3020,,
3021,,
3022,warm left question,Fear
3023,"documentary following route, slow settle pace",Surprise
3024,,
3025,,
3026,u recommend anyone,
3027,"able survive midnight, young inheriting everything",Surprise
3028,,
3029,,
3030,,
3031,,
3032,wish came visuals,Surprise
3033,"english speaking country, french coined term",Fear
3034,"early outing fan, believe acting master, forehead going duh, grand unveiling villain",Angry
3035,,
3036,skill acting thing,Surprise
3037,,
3038,interesting seeing interaction,
3039,sexy loved bird,Happy
3040,,
3041,continually watching saw,Surprise
3042,,
3043,,
3044,,
3045,afraid paid money,
3046,"farris wrote version, william devastating baroque",Fear
3047,,
3048,,
3049,,
3050,"funny come hell, sure trying question",Fear
3051,,
3052,,
3053,"big bronzed steve, nitrous supposed story, le annoying mile",Sad
3054,,
3055,,
3056,special supporting cast,
3057,,
3058,,
3059,,
3060,,
3061,fine sitting spettri,
3062,,
3063,,
3064,peanut snorting karate,
3065,,
3066,"calculated geared crowd, surprising ending bit, afraid believe annihilate",Fear
3067,"open took place, guess see surprise",Surprise
3068,,
3069,russian checked movie,
3070,,
3071,,
3072,,
3073,much according mainstream,
3074,,
3075,,
3076,,
3077,various depicted scofield,
3078,hard believe auteur,
3079,,
3080,"involved making fact, good acting script",Sad
3081,,
3082,,
3083,,
3084,,
3085,dramatic moving plot,
3086,,
3087,,
3088,,
3089,,
3090,,
3091,,
3092,guard seizing victory,Fear
3093,,
3094,,
3095,,
3096,,
3097,,
3098,,
3099,,
3100,,
3101,"table complaining husband, miserable whining pig",Sad
3102,,
3103,lion king disney,
3104,"intent collecting cash, occasional severed head",Fear
3105,doe keep edge,Sad
3106,,
3107,,
3108,impossible linking guy,
3109,,
3110,follow satisfying experience,
3111,"explicit aforementioned tryst, dilapidated swimming pool",Fear
3112,unlikeable said actor,Surprise
3113,erratic including couple,
3114,,
3115,stupid turning brainless,Surprise
3116,,
3117,terrible beginning end,
3118,,
3119,,
3120,,
3121,"painful viewing experience, high pitched feminine",Sad
3122,great acting carry,
3123,,
3124,horrendous challenging condition,Fear
3125,,
3126,,
3127,lunatic awaiting imagine,Surprise
3128,,
3129,next healed wound,
3130,eccentric dying scientist,Fear
3131,worth watching crack,Surprise
3132,boring recycled gag,
3133,"nell steve burrow, head solve mystery",Fear
3134,,
3135,,
3136,human told blockbuster,Sad
3137,sleek stalked woman,
3138,unwilling give jack,Sad
3139,"wish played lead, foreign think brazil",Surprise
3140,"horrible according review, fat turning friend, strong willed experience",Happy
3141,"old fashioned type, excellent relaxing view",Fear
3142,,
3143,,
3144,,
3145,,
3146,,
3147,,
3148,save shining half,
3149,,
3150,,
3151,,
3152,poor deluded girl,Surprise
3153,,
3154,"stale deadpanning feel, short creating tension",
3155,guy researching death,Fear
3156,,
3157,real come love,Happy
3158,,
3159,quote regarding road,Happy
3160,,
3161,second ending fine,Happy
3162,,
3163,,
3164,understand got people,
3165,,
3166,gonrdy directing style,Fear
3167,"sure reading death, burial looking water, instrument dancing way, weird wailing heard, diet consisted meat",Sad
3168,,
3169,,
3170,,
3171,,
3172,,
3173,miss come joke,Happy
3174,excellent acting story,
3175,,
3176,fireman want dig,
3177,palpable reading lesson,
3178,,
3179,true watching feel,Surprise
3180,,
3181,,
3182,,
3183,,
3184,,
3185,,
3186,,
3187,"average looking film, unimaginative acting suck",
3188,,
3189,creditable starring debut,
3190,,
3191,,
3192,,
3193,,
3194,,
3195,,
3196,hard believe director,Surprise
3197,,
3198,,
3199,"surprising coming country, pretentious took care, similar supporting introduction, numerous forced couple, oft repeated note",Surprise
3200,nom went actor,Fear
3201,,
3202,,
3203,,
3204,,
3205,,
3206,"ultra alternated joke, wa annoying self",Happy
3207,,
3208,,
3209,,
3210,,
3211,"sure going watch, open staring drunk, dark using camera",Surprise
3212,,
3213,disappointing love scene,Happy
3214,effective introducing story,
3215,first saw movie,
3216,,
3217,reopen find trouble,Sad
3218,,
3219,,
3220,"red painted cinder, light switch yard",
3221,,
3222,"horrendous synchronizing actor, interested happening amount, apparent acting class, surprising shocking suffers",Surprise
3223,"fanatic loved match, worth watching hope",Happy
3224,,
3225,,
3226,,
3227,"first reading book, cafe checking bubo, grand giggling novelty, bad made spade",Sad
3228,dumb slave girl,Surprise
3229,girl confusing story,Fear
3230,,
3231,,
3232,hard believe thirty,
3233,,
3234,,
3235,great entertaining show,
3236,,
3237,super recovered police,Surprise
3238,,
3239,,
3240,subtle heartbreaking portrait,
3241,,
3242,"great set design, green playing youngster",Fear
3243,"wish done genre, fine supporting cast",
3244,bad considering ha,Sad
3245,,
3246,,
3247,,
3248,"celebre dueling medico, gibberish taking skinnydips",Surprise
3249,willing killing wife,Surprise
3250,,
3251,,
3252,good acting role,
3253,,
3254,alive asking producer,Fear
3255,horrible acting piper,
3256,bad acting nothing,
3257,,
3258,,
3259,,
3260,,
3261,"real trying watch, hilarious entertaining grade",Surprise
3262,,
3263,,
3264,australian including geoffrey,
3265,,
3266,,
3267,weak acting performance,
3268,,
3269,,
3270,,
3271,dummy hired animation,
3272,spampinato steve jordon,
3273,,
3274,,
3275,white starring basil,
3276,,
3277,,
3278,,
3279,,
3280,concious dealing book,
3281,,
3282,,
3283,"fake put trigger, dead going find, chick die none",Sad
3284,,
3285,,
3286,,
3287,easy see someone,
3288,"francisco sighting evoke, spectacular felt filmmaker, glorious interspersed today",Sad
3289,,
3290,interested seeing movie,
3291,,
3292,,
3293,,
3294,"sam disgusting cousin, le disturbing james",Sad
3295,,
3296,,
3297,,
3298,,
3299,good made production,Sad
3300,"dreadful cave dweller, doe add anything",Sad
3301,"anarchist find movie, susman went way, villianous recruiting bunch, happy ending puck",Fear
3302,,
3303,,
3304,"original take man, full turning worldwide, minute destroying everything, star done bit",Surprise
3305,,
3306,natural winning smile,Happy
3307,,
3308,"likely see man, exploit grieving family, hear bought book",Surprise
3309,,
3310,confused stuttering comedy,
3311,"know start movie, ridiculous acting make",Sad
3312,"shot watched adult, buck challenging thumper",Surprise
3313,,
3314,comfortable serenading heroine,
3315,"ready milked sentimentality, doe say pursuit",Surprise
3316,"heavy handed dogma, denouement intriguing involves, islamic believe china",Fear
3317,,
3318,,
3319,,
3320,worth spending money,
3321,,
3322,,
3323,,
3324,,
3325,,
3326,"suicide boyfriend art, forgotten end moment",Fear
3327,aware making challenge,Sad
3328,,
3329,jewish take heart,Sad
3330,ha come show,
3331,,
3332,,
3333,"full sized man, entire supposed told, glad stayed buddy",Angry
3334,"build civilising effect, second guessing script",Surprise
3335,,
3336,,
3337,"fan howling series, serious warped comedy",
3338,back believe woman,
3339,,
3340,,
3341,horrible putting toddler,Sad
3342,leigh acting superb,Happy
3343,crazy hope writer,Fear
3344,,
3345,old left fight,Sad
3346,,
3347,,
3348,,
3349,,
3350,wyman girlfriend stepdaughter,
3351,,
3352,preferable took cake,Surprise
3353,"major took street, true told doctor",Sad
3354,,
3355,,
3356,,
3357,,
3358,lousy ending rating,Fear
3359,"bad headed gerald, hard working prospector, butchered editing fact",Fear
3360,,
3361,,
3362,"soporific taken put, afraid shedding image",Surprise
3363,,
3364,hilarious flustered judge,Surprise
3365,"shear pulsating blaxploitation, white knuckled actioneer, old checkered cab, tenement run truck",
3366,,
3367,,
3368,"guess cutting class, sure see value, teen go fact",Surprise
3369,graphic acting script,
3370,,
3371,,
3372,christian give credit,Fear
3373,,
3374,actress playing pleasure,Happy
3375,,
3376,painful watching mob,Angry
3377,,
3378,,
3379,,
3380,,
3381,,
3382,,
3383,,
3384,,
3385,,
3386,"usual left doubt, human feeling obsession",Fear
3387,hard find day,Happy
3388,underaged followed cult,
3389,"bad writing coincidence, spanish go way",
3390,innovative touching plot,Sad
3391,,
3392,girl walking street,Sad
3393,abused left fend,
3394,"unaware missing begin, fugitive finding way",Sad
3395,"funny fave character, bernard met penny",Fear
3396,"small cut eye, happy rushed wresltemainia",Happy
3397,"guess damning faint, mob run drug, good covering lot, final involved surgeon, extra keep em",Sad
3398,high remained country,
3399,,
3400,lady endearing quality,Happy
3401,,
3402,,
3403,,
3404,,
3405,,
3406,,
3407,,
3408,happy ending disney,Fear
3409,bad acting maudlin,Sad
3410,,
3411,name think make,Surprise
3412,overall prefer heart,Happy
3413,awesome watching mom,Surprise
3414,old suited lord,
3415,,
3416,,
3417,fix glaring error,Sad
3418,,
3419,,
3420,"future handing award, happy ending boot",Fear
3421,,
3422,,
3423,,
3424,,
3425,,
3426,"le shocking similarity, single required see",Surprise
3427,,
3428,insightful figured twist,
3429,"bad spoiled kid, willing spend ton",Happy
3430,,
3431,snazzy b berserker,
3432,,
3433,erotic lovemaking scene,
3434,human rickshaw person,
3435,whole acting photography,
3436,,
3437,,
3438,,
3439,,
3440,,
3441,,
3442,"chaotic disturbing sex, korean bended genre",Angry
3443,,
3444,geek overcoming odds,Sad
3445,,
3446,curious played rick,Surprise
3447,,
3448,,
3449,,
3450,,
3451,,
3452,,
3453,brilliant beginning end,
3454,pretentious lacking believability,
3455,,
3456,,
3457,,
3458,,
3459,,
3460,,
3461,"single set file, old wrote hurry",Fear
3462,,
3463,wong shown training,
3464,busy wallowing nostalgia,
3465,,
3466,,
3467,good watching comment,Surprise
3468,,
3469,,
3470,"key maintaining subtlety, cackle played ace",Fear
3471,several take watch,Surprise
3472,,
3473,,
3474,,
3475,,
3476,"salacious alfred e, green make jolson",Sad
3477,,
3478,,
3479,,
3480,,
3481,,
3482,half running consists,
3483,plot take place,Fear
3484,,
3485,"important supposed moment, slide cut kid, bottle making blood",Fear
3486,wealthy loving uncle,Happy
3487,,
3488,,
3489,,
3490,weak minded fool,Surprise
3491,,
3492,u sympathize fixation,Sad
3493,second rubbing goat,Angry
3494,,
3495,foul mouthed killer,Sad
3496,mom trying thing,Surprise
3497,friday investigating murder,Fear
3498,important come construction,Fear
3499,,
3500,terrible acting nothing,
3501,,
3502,"tense feeling thing, bad reminded terminator",Surprise
3503,glorified made light,Sad
3504,ustinov take role,
3505,bored watching box,Surprise
3506,black gloved killer,
3507,,
3508,,
3509,,
3510,,
3511,"awful supposed chance, original based symbolism",Fear
3512,,
3513,,
3514,freshy adding picturisation,Sad
3515,good supporting cast,
3516,,
3517,,
3518,evil calling ivan,
3519,"successful fighting front, essential got way",Sad
3520,,
3521,,
3522,portuguese relocated brazil,
3523,,
3524,,
3525,hard believe herschell,
3526,,
3527,,
3528,lite twentysomething version,
3529,gellar playing rif,Fear
3530,nervous happening stuff,Angry
3531,harry enfield ala,
3532,,
3533,,
3534,"usual thought time, single remaining plant",Surprise
3535,okay let face,Sad
3536,"fair say improvement, cong portrayed misunderstood, graphic want watch",Surprise
3537,live referring course,
3538,,
3539,"serious king denmark, royal wedding look, predictable stretched mean, visible training suspender",
3540,modern shifting fact,
3541,"little flying robot, yeah forget jacking",Angry
3542,great approaching sunset,
3543,,
3544,,
3545,black humored critique,Surprise
3546,follow want take,
3547,bad remember location,
3548,direct leaving dialogue,
3549,,
3550,many come everything,Sad
3551,,
3552,,
3553,,
3554,"cheap take world, german occupied france, american dropped plethora",Happy
3555,jason take form,
3556,"comic gifted actor, consistent lurching hallmark, extra set piece, embarrassment enjoyed wa",Happy
3557,awful make sense,Sad
3558,,
3559,,
3560,,
3561,humdrum established survival,Fear
3562,,
3563,,
3564,,
3565,,
3566,,
3567,future raheem steel,
3568,,
3569,sidekick played france,Fear
3570,"guilty oversimplifying displacement, first viewing wa",
3571,akin beginning idea,
3572,rental missing anything,Sad
3573,,
3574,,
3575,,
3576,,
3577,"hippy looking direction, amiss witnessed coffin, u viewing learn, basic underlying plot, usual expected story",Happy
3578,insipid hit men,Angry
3579,,
3580,,
3581,,
3582,critic lying classify,
3583,sexual added homo,Sad
3584,,
3585,,
3586,,
3587,,
3588,"funny charming piece, confident go thing",Happy
3589,enjoy spoofing james,
3590,modern making technique,Sad
3591,see take word,Angry
3592,"odd beginning relationship, slyly toying audience",
3593,"impressed make day, info thinking yeaahhh, good acting plot",Happy
3594,rich satisfying anyone,
3595,,
3596,,
3597,several going action,Fear
3598,odd entertaining tribe,
3599,,
3600,original know detail,
3601,,
3602,,
3603,couch watching crap,Surprise
3604,creative touching mile,Sad
3605,"short based upon, clear making statement",Sad
3606,,
3607,,
3608,first ring movie,
3609,open mouthed head,Sad
3610,,
3611,,
3612,"fresh say reader, linda splicing scene, perfect dubbed broadcast",Surprise
3613,sensitive telling event,Sad
3614,,
3615,,
3616,,
3617,,
3618,,
3619,,
3620,,
3621,,
3622,fair put staff,Sad
3623,,
3624,,
3625,,
3626,,
3627,,
3628,,
3629,double achieved nothing,
3630,,
3631,,
3632,,
3633,unfold supporting cast,
3634,,
3635,,
3636,,
3637,"old revised version, future cut scene",
3638,"shot remake line, chinese king presley, unfulfilled save money",Fear
3639,oblivious amusing simplicity,Fear
3640,,
3641,,
3642,original viewed theatre,
3643,,
3644,huge talking rat,
3645,difficult find person,
3646,similarity end ha,
3647,"end seeing mst, live hear anyone",
3648,,
3649,,
3650,"original calling wife, witness claiming shot",Surprise
3651,,
3652,,
3653,,
3654,"strange happening writer, likely got day",Happy
3655,requisite expect villain,Happy
3656,,
3657,fortune gambling debt,Fear
3658,sure missed something,Sad
3659,,
3660,lead boring cipher,Sad
3661,,
3662,,
3663,"safe took risk, fun continue story",Surprise
3664,,
3665,suggestible changing opinion,
3666,"mgm viewed studio, perpetual allowing flack",
3667,,
3668,,
3669,,
3670,,
3671,,
3672,survive escaping ship,Fear
3673,,
3674,,
3675,,
3676,,
3677,,
3678,,
3679,un annoying child,Sad
3680,flat acting blaxploitation,
3681,,
3682,,
3683,"flat keep mind, ludicrous supporting cast",Surprise
3684,"sloppy writing character, odd amusing reference",Fear
3685,,
3686,new shocking save,Surprise
3687,,
3688,comfortable playing surfer,Fear
3689,talented eating love,Happy
3690,natural born killer,Sad
3691,strong hatred guy,
3692,"trick taking fall, rival acting vin",Surprise
3693,,
3694,weird creep call,
3695,,
3696,,
3697,,
3698,,
3699,"flees wind house, comb saw day",Happy
3700,slight feeling discomfort,Fear
3701,,
3702,incapable picking role,
3703,,
3704,,
3705,,
3706,,
3707,"lionsgate dumping horde, different linked word, wall surrounding body",Angry
3708,,
3709,,
3710,,
3711,fair warning martin,Fear
3712,,
3713,special screening let,Sad
3714,grade telling teacher,Sad
3715,,
3716,,
3717,awful given year,Fear
3718,,
3719,,
3720,,
3721,,
3722,,
3723,,
3724,iranian screened simplicity,Fear
3725,,
3726,,
3727,repetitive boring doubt,Sad
3728,,
3729,aware fractured nature,Fear
3730,tagline say revenge,Surprise
3731,alan clarke star,
3732,,
3733,solid supporting cast,
3734,leave kleenex shelf,
3735,"young hired movie, peltzer take possession, main done flop, poster advertising country",
3736,,
3737,subconscious shining example,
3738,,
3739,"elegant leading man, gilbert went style",Fear
3740,,
3741,,
3742,,
3743,screen rest movie,
3744,,
3745,whole going ape,Fear
3746,,
3747,,
3748,,
3749,invisible flying critter,
3750,"happy made mistake, bad coming character",Surprise
3751,,
3752,,
3753,,
3754,fantastic took time,Surprise
3755,,
3756,,
3757,,
3758,downright irritating actor,Angry
3759,,
3760,,
3761,,
3762,,
3763,,
3764,,
3765,,
3766,,
3767,"many bought saga, multiple viewing reveal",Surprise
3768,,
3769,,
3770,,
3771,,
3772,,
3773,interested putting homosexuality,Sad
3774,poor acting entertainment,
3775,,
3776,real loved music,Happy
3777,,
3778,,
3779,,
3780,american made war,Sad
3781,bad acting direction,
3782,,
3783,"mixed mobbed club, large gambling loss",Angry
3784,,
